corruption_ratio,RMSE,MAE
0.0,0.005399938851729403,0.0031608217919698147
0.1,0.007109169699794369,0.004781101683730951
0.2,0.008404416699886182,0.005381220868033462
0.3,0.009218325868955985,0.005809258391298996
0.4,0.010455020515885415,0.00626012213477688
0.5,0.013045590548230583,0.007340487804712105
0.6,0.018910518857310363,0.010049341319177691
0.7,0.02752070086710609,0.014394149035464602
0.8,0.0452590502314051,0.025706012550890937
0.9,0.10792126362182318,0.06393083201997332
